time,episode,wins,winrate
02:18:48,1,0,0.0
02:18:49,2,0,0.0
02:26:10,624,389,0.6224
02:26:12,625,390,0.6230031948881789
02:26:12,626,391,0.6236044657097288
02:26:13,627,391,0.6226114649681529
02:26:14,628,392,0.6232114467408585
02:26:14,629,393,0.6238095238095238
02:26:15,630,393,0.6228209191759112
02:26:16,631,393,0.6218354430379747
02:26:17,632,394,0.6224328593996841
02:26:17,633,394,0.6214511041009464
02:26:18,634,395,0.6220472440944882
02:26:19,635,395,0.6210691823899371
02:26:20,636,395,0.6200941915227629
02:26:21,637,396,0.6206896551724138
02:26:22,638,396,0.6197183098591549
02:26:23,639,396,0.61875
02:26:24,640,397,0.6193447737909517
02:26:25,641,398,0.6199376947040498
02:26:26,642,399,0.6205287713841369
02:26:26,643,399,0.6195652173913043
02:26:28,644,400,0.6201550387596899
02:26:28,645,401,0.6207430340557275
02:26:29,646,402,0.6213292117465224
02:26:30,647,402,0.6203703703703703
02:26:30,648,402,0.6194144838212635
02:26:31,649,403,0.62
02:26:32,650,404,0.620583717357911
02:26:33,651,404,0.6196319018404908
02:26:34,652,405,0.6202143950995406
02:26:35,653,406,0.6207951070336392
02:26:36,654,406,0.6198473282442748
02:26:37,655,406,0.6189024390243902
02:26:38,656,407,0.619482496194825
02:26:39,657,408,0.6200607902735562
02:26:40,658,409,0.6206373292867982
02:26:41,659,410,0.6212121212121212
02:26:41,660,411,0.6217851739788199
02:26:42,661,412,0.622356495468278
02:26:44,662,413,0.6229260935143288
02:26:44,663,414,0.6234939759036144
02:26:45,664,414,0.6225563909774436
02:26:46,665,414,0.6216216216216216
02:26:47,666,414,0.6206896551724138
02:26:48,667,414,0.6197604790419161
02:26:49,668,415,0.6203288490284006
02:26:50,669,415,0.6194029850746269
02:26:51,670,416,0.6199701937406855
02:26:51,671,417,0.6205357142857143
02:26:52,672,418,0.6210995542347697
02:26:53,673,419,0.6216617210682492
02:26:54,674,420,0.6222222222222222
02:26:55,675,421,0.6227810650887574
02:26:56,676,422,0.6233382570162481
02:26:57,677,423,0.6238938053097345
02:26:58,678,424,0.6244477172312224
02:26:58,679,425,0.625
02:27:00,680,426,0.6255506607929515
02:27:01,681,427,0.626099706744868
02:27:02,682,428,0.6266471449487555
02:27:03,683,429,0.6271929824561403
02:27:04,684,430,0.6277372262773723
02:27:05,685,431,0.6282798833819242
02:27:05,686,431,0.6273653566229985
02:27:06,687,432,0.627906976744186
02:27:07,688,433,0.6284470246734397
02:27:08,689,434,0.6289855072463768
02:27:09,690,435,0.6295224312590448
02:27:10,691,435,0.6286127167630058
02:27:11,692,436,0.6291486291486291
02:27:12,693,436,0.6282420749279539
02:27:13,694,437,0.6287769784172662
02:27:14,695,438,0.6293103448275862
02:27:15,696,439,0.629842180774749
02:27:16,697,439,0.6289398280802292
02:27:17,698,440,0.6294706723891274
02:27:18,699,441,0.63
02:27:19,700,441,0.6291012838801712
02:27:20,701,442,0.6296296296296297
02:27:21,702,442,0.6287339971550497
02:27:21,703,443,0.6292613636363636
02:27:22,704,444,0.6297872340425532
02:27:23,705,445,0.6303116147308782
